% Model:              sc_magnet.mph
% Version:            COMSOL 6.2.0.415
% Date:               Feb 3 2025, 13:48
% Dimension:          1
% Nodes:              95
% Expressions:        1
% Description:        Line graph
% Arc length (m)          Magnetic flux density, y-component
0                         2.3869789072821685
0.023151983996794526      2.430352462216318
0.04630396799358905       2.4737260171504674
0.06945595199038357       2.517099572084613
0.0926079359871781        2.5604731270187626
0.11575991998397263       2.603846681952911
0.13891190398076714       2.64722023688706
0.1620638879775617        2.690593791821209
0.1852158719743562        2.733967346755355
0.20836785597115073       2.789121805068806
0.22347188479696373       2.8940691796855624
0.2385759136227767        2.987235650923024
0.2536799424485897        3.080402122160475
0.2687839712744026        3.173568593397924
0.28388800010021564       3.2667350646353857
0.2989920289260286        3.359901535872833
0.3140960577518416        3.4530680071102937
0.32920008657765454       3.5462344783477477
0.34430411540346756       3.670425373790988
0.35604810258086          3.827821198807502
0.3677920897582525        3.9541925996182266
0.37953607693564506       4.080564000428951
0.39128006411303756       4.206935401239676
0.40302405129043006       4.333306802050388
0.41476803846782256       4.459678202861124
0.42651202564521506       4.586049603671836
0.43825601282260757       4.712421004482559
0.45000000000000007       4.838792405293297
0.45000000000000007       4.847947331024978
0.4555555555555556        3.9034488623408485
0.46111111111111114       2.9589503936567767
0.4666666666666668        2.0144519249726907
0.47222222222222227       1.069953456288594
0.4777777777777778        0.1254549876044937
0.4833333333333334        -0.8190434810796172
0.48888888888888893       -1.7635419497636962
0.49444444444444446       -2.7080404184477964
0.5                       -3.6525388871318967
0.5                       -3.6138164407191073
0.5162677517771856        -3.437244866518098
0.5325355035543714        -3.260673292317092
0.5488032553315572        -3.084101718116091
0.5650710071087428        -2.907530143915082
0.5813387588859287        -2.730958569714084
0.5976065106631143        -2.554386995513082
0.6138742624403           -2.3778154213120755
0.6301420142174857        -2.2012438471110656
0.6464097659946715        -2.018833656859236
0.6745864586619301        -1.8898217030954576
0.702763151329189         -1.766648365382512
0.7309398439964477        -1.643475027669567
0.7591165366637065        -1.5203016899566193
0.7872932293309651        -1.3971283522436737
0.815469921998224         -1.2739550145307275
0.8436466146654826        -1.15078167681778
0.8718233073327414        -1.0276083391048334
0.9000000000000001        -0.9044350013918869
0.9000000000000001        -0.9134692694210071
0.9300480034590433        -0.8736928972994531
0.9600960069180864        -0.8339165251778965
0.9901440103771297        -0.7941401530563408
1.0201920138361729        -0.7543637809347827
1.050240017295216         -0.714587408813228
1.0802880207542591        -0.6748110366916715
1.1103360242133022        -0.6350346645701149
1.1403840276723454        -0.5952582924485574
1.1704320311313885        -0.5516826565445676
1.2070506943390118        -0.5234310038922025
1.2436693575466355        -0.4989786150222743
1.2802880207542588        -0.4745262261523458
1.3169066839618824        -0.45007383728241707
1.353525347169506         -0.4256214484124887
1.3901440103771292        -0.40116905954255955
1.426762673584753         -0.3767166706726319
1.4633813367923763        -0.3522642818027032
1.4999999999999998        -0.3278118929327736
1.4999999999999998        -0.33226336792739275
1.5549667729569312        -0.319397639030506
1.6099335459138626        -0.30653191013362
1.6649003188707943        -0.2936661812367328
1.7198670918277257        -0.28080045233984585
1.774833864784657         -0.2679347234429591
1.8298006377415885        -0.2550689945460721
1.88476741069852          -0.24220326564918504
1.9397341836554514        -0.2293375367522985
1.9947009566123828        -0.21549009063607344
2.0730675169887847        -0.2089488337841301
2.1514340773651868        -0.2033892941515254
2.229800637741589         -0.19782975451892088
2.3081671981179905        -0.19227021488631618
2.3865337584943926        -0.18671067525371154
2.4649003188707943        -0.18115113562110696
2.5432668792471964        -0.17559159598850238
2.621633439623598         -0.17003205635589763
2.7                       -0.16447251672329305
